date,arrive_num,acuity_avg,acuity_1_num,acuity_2_num,acuity_3_num,acuity_4_num,acuity_5_num
1/1/22,240,3.148305085,1,48,108,73,6
1/2/22,303,3.260869565,5,42,137,100,15
1/3/22,281,3.15,2,51,140,77,10
1/4/22,301,3.3,7,33,130,123,7
1/5/22,306,3.201320132,9,50,132,95,17
1/6/22,316,3.282539683,4,37,157,100,17
1/7/22,286,3.214788732,5,30,154,89,6
1/8/22,231,3.035555556,3,55,102,61,4
1/9/22,236,3.313559322,0,22,130,72,12
1/10/22,319,3.254716981,5,40,153,109,11
1/11/22,300,3.233898305,2,38,150,99,6
1/12/22,279,3.202898551,2,45,130,93,6
1/13/22,259,3.140625,5,41,130,73,7
1/14/22,281,3.177935943,1,44,152,72,12
1/15/22,223,3.116591928,5,38,113,60,7
1/16/22,238,3.143459916,2,46,118,58,13
1/17/22,280,3.176258993,3,41,144,84,6
1/18/22,251,3.12145749,4,37,138,61,7
1/19/22,250,3.085714286,5,49,116,70,5
1/20/22,256,3.114624506,2,44,136,65,6
1/21/22,259,3.244186047,3,32,128,89,6
1/22/22,204,3.135678392,3,25,114,56,1
1/23/22,228,2.973451327,0,55,122,49,0
1/24/22,257,3.141176471,3,46,126,72,8
1/25/22,238,3.071729958,5,45,120,62,5
1/26/22,240,3.042194093,2,60,104,68,3
1/27/22,243,3.054166667,0,54,123,59,4
1/28/22,200,3.16080402,4,22,116,52,5
1/29/22,201,3.059701493,2,42,103,50,4
1/30/22,163,2.938271605,3,43,79,35,2
1/31/22,246,3.090534979,3,46,123,68,3
2/1/22,212,3.203791469,1,24,119,65,2
2/2/22,242,3.170124481,4,33,125,76,3
2/3/22,229,3.171806167,5,28,122,67,5
2/4/22,241,3.153526971,5,38,119,73,6
2/5/22,184,3.158469945,1,31,90,60,1
2/6/22,238,3.037974684,1,53,122,58,3
2/7/22,242,3.144628099,3,41,121,72,5
2/8/22,234,3.167381974,2,42,108,77,4
2/9/22,264,2.939393939,4,62,148,46,4
2/10/22,244,3.107883817,2,40,129,70,0
2/11/22,248,3.157258065,3,35,135,70,5
2/12/22,226,3.192825112,0,33,114,76,0
2/13/22,208,3.043902439,4,35,114,52,0
2/14/22,271,3.138059701,2,40,150,71,5
2/15/22,253,3.201581028,4,35,131,72,11
2/16/22,255,3.212598425,1,28,147,72,6
2/17/22,234,3.0995671,3,36,130,59,3
2/18/22,225,3.16,1,25,139,57,3
2/19/22,204,3.15270936,3,25,113,62,0
2/20/22,207,3.203883495,3,35,97,59,12
2/21/22,222,3.221719457,1,35,108,68,9
2/22/22,219,3.211009174,3,30,108,72,5
2/23/22,249,3.064257028,6,46,133,54,10
2/24/22,205,2.985294118,2,39,124,38,1
2/25/22,244,3.199170124,6,26,129,74,6
2/26/22,189,3.138297872,2,33,98,47,8
2/27/22,203,3.005025126,7,41,97,52,2
2/28/22,248,3.145748988,5,36,128,74,4
3/1/22,219,3.199074074,3,24,120,65,4
3/2/22,227,3.118942731,4,33,124,64,2
3/3/22,250,3.18,2,22,160,61,5
3/4/22,250,3.142276423,2,32,142,69,1
3/5/22,225,3.115555556,0,50,101,72,2
3/6/22,192,3.120418848,1,34,107,39,10
3/7/22,277,3.201465201,3,29,157,78,6
3/8/22,236,3.127659574,3,31,138,59,4
3/9/22,258,3.031007752,3,55,132,67,1
3/10/22,254,3.242063492,0,48,101,97,6
3/11/22,240,3.133333333,3,43,114,79,1
3/12/22,199,3.237373737,0,26,103,65,4
3/13/22,206,2.985294118,3,35,130,34,2
3/14/22,258,3.16796875,3,34,141,73,5
3/15/22,270,3.111111111,5,45,143,69,8
3/16/22,253,3.080321285,3,45,136,59,6
3/17/22,243,3.041841004,4,42,135,56,2
3/18/22,239,2.978813559,5,47,136,44,4
3/19/22,220,2.986238532,4,50,113,47,4
3/20/22,213,3.089622642,4,37,113,52,6
3/21/22,265,3.18490566,5,33,138,86,3
3/22/22,236,3.098290598,1,38,136,55,4
3/23/22,245,3.179591837,2,38,123,78,4
3/24/22,272,3.085185185,6,50,139,65,10
3/25/22,263,3.061068702,3,42,159,52,6
3/26/22,218,3.139534884,4,25,124,61,1
3/27/22,239,3.150862069,3,35,124,64,6
3/28/22,263,3.138461538,3,49,121,83,4
3/29/22,268,3.146616541,1,53,121,88,3
3/30/22,238,3.13304721,2,34,135,55,7
3/31/22,261,3.1003861,6,39,141,69,4
4/1/22,222,3.19266055,3,27,118,65,5
4/2/22,209,3.03902439,1,44,107,52,1
4/3/22,197,3.165803109,1,37,95,49,11
4/4/22,295,3.058219178,5,46,171,67,3
4/5/22,264,3.088122605,2,49,136,72,2
4/6/22,279,3.15942029,2,55,125,85,9
4/7/22,241,3.097457627,1,39,137,54,5
4/8/22,256,3.13671875,5,31,147,70,3
4/9/22,242,3.046218487,3,45,129,60,1
4/10/22,245,3.119341564,0,50,119,69,5
4/11/22,265,3.224334601,2,26,154,73,8
4/12/22,253,3.068273092,3,53,123,64,6
4/13/22,228,3.035242291,5,33,140,47,2
4/14/22,249,3.109311741,4,35,145,56,7
4/15/22,218,3.073394495,3,44,110,56,5
4/16/22,212,3.199052133,4,29,105,67,6
4/17/22,230,3.122270742,2,31,139,51,6
4/18/22,295,3.293515358,1,42,130,110,10
4/19/22,279,3.198555957,2,37,149,82,7
4/20/22,261,3.166023166,2,39,138,74,6
4/21/22,219,3.236111111,2,28,111,67,8
4/22/22,259,3.1875,5,32,135,78,6
4/23/22,206,3.266009852,4,19,105,69,6
4/24/22,242,3.135021097,3,34,133,62,5
4/25/22,275,3.179487179,3,37,146,82,5
4/26/22,304,3.105610561,1,51,170,77,4
4/27/22,277,3.167272727,1,37,160,69,8
4/28/22,236,3.225531915,1,32,123,71,8
4/29/22,245,3.020491803,4,50,136,45,9
4/30/22,252,3.113821138,6,35,138,59,8
5/1/22,240,3.0875,3,39,139,52,7
5/2/22,285,3.169611307,3,42,152,76,10
5/3/22,288,3.042553191,3,60,144,72,3
5/4/22,256,3.153543307,2,39,137,70,6
5/5/22,298,3.050675676,2,68,150,65,11
5/6/22,267,3.25095057,0,39,126,91,7
5/7/22,236,3.214592275,3,33,116,73,8
5/8/22,212,3.109004739,1,36,114,59,1
5/9/22,282,3.137184116,2,43,151,77,4
5/10/22,289,3.184027778,2,41,152,88,5
5/11/22,251,3.2,4,35,124,81,6
5/12/22,301,3.16,1,40,170,88,1
5/13/22,256,3.17578125,1,44,124,83,4
5/14/22,272,3.132352941,4,52,126,84,6
5/15/22,225,3.135135135,6,37,105,69,5
5/16/22,317,3.284345048,7,30,150,119,7
5/17/22,263,3.198473282,2,45,119,91,5
5/18/22,305,3.046357616,3,50,181,66,2
5/19/22,244,3.229508197,2,29,129,79,5
5/20/22,249,3.153225806,5,30,135,78,0
5/21/22,221,3.110091743,0,46,106,62,4
5/22/22,264,3.098859316,1,56,129,70,7
5/23/22,322,3.096875,3,55,175,82,5
5/24/22,297,3.223728814,0,48,145,90,12
5/25/22,258,3.185770751,1,37,133,78,4
5/26/22,294,3.242320819,3,42,136,105,7
5/27/22,241,3.1625,0,38,128,71,3
5/28/22,215,3.090047393,3,31,123,52,2
5/29/22,231,3.135371179,2,43,112,66,6
5/30/22,257,3.250980392,1,34,130,80,10
5/31/22,304,3.235880399,3,44,144,99,11
6/1/22,280,3.105454545,4,53,144,58,16
6/2/22,253,3.179282869,3,38,126,79,5
6/3/22,275,3.145454545,4,42,143,82,4
6/4/22,222,3.172727273,0,34,117,66,3
6/5/22,234,3.180257511,2,40,110,76,5
6/6/22,306,3.234323432,4,43,142,106,8
6/7/22,289,3.29020979,1,32,150,89,14
6/8/22,272,2.929889299,4,72,137,55,3
6/9/22,268,3.186567164,2,29,162,67,8
6/10/22,268,3.113636364,1,40,157,60,6
6/11/22,241,3.238493724,0,32,128,69,10
6/12/22,261,3.177606178,2,36,141,74,6
6/13/22,301,3.244147157,0,34,167,89,9
6/14/22,271,3.246268657,3,41,127,81,16
6/15/22,272,3.144444444,2,48,136,77,7
6/16/22,246,3.078838174,4,51,112,70,4
6/17/22,255,3.278225806,1,26,135,75,11
6/18/22,245,3.171428571,4,32,128,80,1
6/19/22,239,3.142259414,5,35,125,69,5
6/20/22,279,3.058394161,1,47,165,57,4
6/21/22,293,3.15916955,1,39,171,69,9
6/22/22,281,3.419354839,0,26,125,113,15
6/23/22,272,3.198501873,1,37,145,76,8
6/24/22,248,3.20242915,2,37,121,83,4
6/25/22,223,3.072072072,2,43,123,45,9
6/26/22,270,3.170454545,7,42,124,81,10
6/27/22,293,3.103448276,4,48,158,74,6
6/28/22,262,3.145038168,4,29,156,71,2
6/29/22,267,3.244360902,2,34,146,65,19
6/30/22,285,3.141342756,4,38,159,78,4
7/1/22,265,3.167938931,6,74,278,158,8
7/2/22,255,3.278431373,4,50,276,160,20
7/3/22,240,3.303797468,2,52,244,152,24
7/4/22,222,3.168181818,6,62,238,120,14
7/5/22,285,3.280141844,0,48,320,186,10
7/6/22,304,3.318791946,2,64,298,206,26
7/7/22,266,3.19245283,1,30,157,71,6
7/8/22,302,3.138047138,2,39,175,78,3
7/9/22,240,3.12605042,2,41,127,61,7
7/10/22,252,3.133603239,4,37,133,68,5
7/11/22,310,3.224025974,1,37,168,96,6
7/12/22,267,3.190839695,1,34,148,72,7
7/13/22,277,3.115942029,2,49,146,73,6
7/14/22,265,3.229007634,10,26,133,80,13
7/15/22,273,3.092250923,2,49,143,76,1
7/16/22,257,3.125490196,3,41,140,63,8
7/17/22,257,3.094117647,2,53,124,71,5
7/18/22,280,3.086330935,2,51,148,75,2
7/19/22,277,3.210144928,2,39,141,87,7
7/20/22,261,3.138461538,2,37,149,67,5
7/21/22,271,3.146616541,2,40,143,79,2
7/22/22,290,3.204152249,2,41,150,88,8
7/23/22,232,3.203463203,8,26,113,79,5
7/24/22,246,3.158995816,4,27,139,65,4
7/25/22,303,3.246666667,1,30,174,84,11
7/26/22,242,3.041666667,1,48,135,52,4
7/27/22,240,3.106382979,0,41,130,62,2
7/28/22,253,3.091269841,0,39,157,50,6
7/29/22,240,3.038135593,2,45,133,54,2
7/30/22,215,3.102803738,1,45,101,65,2
7/31/22,207,3.053658537,3,43,106,46,7
8/1/22,271,3.214814815,2,35,143,83,7
8/2/22,251,3.143426295,2,33,147,65,4
8/3/22,217,3.130232558,2,36,112,62,3
8/4/22,261,3.104651163,3,40,143,71,1
8/5/22,250,3.126530612,1,51,116,70,7
8/6/22,210,3.086124402,3,32,120,52,2
8/7/22,216,3.023364486,2,38,129,43,2
8/8/22,263,3.2,2,37,134,81,6
8/9/22,281,3.276978417,1,27,148,98,4
8/10/22,256,3.130434783,4,43,129,70,7
