date,arrive_num,acuity_avg
1/1/22,240,3.148305085
1/2/22,303,3.260869565
1/3/22,281,3.15
1/4/22,301,3.3
1/5/22,306,3.201320132
1/6/22,316,3.282539683
1/7/22,286,3.214788732
1/8/22,231,3.035555556
1/9/22,236,3.313559322
1/10/22,319,3.254716981
1/11/22,300,3.233898305
1/12/22,279,3.202898551
1/13/22,259,3.140625
1/14/22,281,3.177935943
1/15/22,223,3.116591928
1/16/22,238,3.143459916
1/17/22,280,3.176258993
1/18/22,251,3.12145749
1/19/22,250,3.085714286
1/20/22,256,3.114624506
1/21/22,259,3.244186047
1/22/22,204,3.135678392
1/23/22,228,2.973451327
1/24/22,257,3.141176471
1/25/22,238,3.071729958
1/26/22,240,3.042194093
1/27/22,243,3.054166667
1/28/22,200,3.16080402
1/29/22,201,3.059701493
1/30/22,163,2.938271605
1/31/22,246,3.090534979
2/1/22,212,3.203791469
2/2/22,242,3.170124481
2/3/22,229,3.171806167
2/4/22,241,3.153526971
2/5/22,184,3.158469945
2/6/22,238,3.037974684
2/7/22,242,3.144628099
2/8/22,234,3.167381974
2/9/22,264,2.939393939
2/10/22,244,3.107883817
2/11/22,248,3.157258065
2/12/22,226,3.192825112
2/13/22,208,3.043902439
2/14/22,271,3.138059701
2/15/22,253,3.201581028
2/16/22,255,3.212598425
2/17/22,234,3.0995671
2/18/22,225,3.16
2/19/22,204,3.15270936
2/20/22,207,3.203883495
2/21/22,222,3.221719457
2/22/22,219,3.211009174
2/23/22,249,3.064257028
2/24/22,205,2.985294118
2/25/22,244,3.199170124
2/26/22,189,3.138297872
2/27/22,203,3.005025126
2/28/22,248,3.145748988
3/1/22,219,3.199074074
3/2/22,227,3.118942731
3/3/22,250,3.18
3/4/22,250,3.142276423
3/5/22,225,3.115555556
3/6/22,192,3.120418848
3/7/22,277,3.201465201
3/8/22,236,3.127659574
3/9/22,258,3.031007752
3/10/22,254,3.242063492
3/11/22,240,3.133333333
3/12/22,199,3.237373737
3/13/22,206,2.985294118
3/14/22,258,3.16796875
3/15/22,270,3.111111111
3/16/22,253,3.080321285
3/17/22,243,3.041841004
3/18/22,239,2.978813559
3/19/22,220,2.986238532
3/20/22,213,3.089622642
3/21/22,265,3.18490566
3/22/22,236,3.098290598
3/23/22,245,3.179591837
3/24/22,272,3.085185185
3/25/22,263,3.061068702
3/26/22,218,3.139534884
3/27/22,239,3.150862069
3/28/22,263,3.138461538
3/29/22,268,3.146616541
3/30/22,238,3.13304721
3/31/22,261,3.1003861
4/1/22,222,3.19266055
4/2/22,209,3.03902439
4/3/22,197,3.165803109
4/4/22,295,3.058219178
4/5/22,264,3.088122605
4/6/22,279,3.15942029
4/7/22,241,3.097457627
4/8/22,256,3.13671875
4/9/22,242,3.046218487
4/10/22,245,3.119341564
4/11/22,265,3.224334601
4/12/22,253,3.068273092
4/13/22,228,3.035242291
4/14/22,249,3.109311741
4/15/22,218,3.073394495
4/16/22,212,3.199052133
4/17/22,230,3.122270742
4/18/22,295,3.293515358
4/19/22,279,3.198555957
4/20/22,261,3.166023166
4/21/22,219,3.236111111
4/22/22,259,3.1875
4/23/22,206,3.266009852
4/24/22,242,3.135021097
4/25/22,275,3.179487179
4/26/22,304,3.105610561
4/27/22,277,3.167272727
4/28/22,236,3.225531915
4/29/22,245,3.020491803
4/30/22,252,3.113821138
5/1/22,240,3.0875
5/2/22,285,3.169611307
5/3/22,288,3.042553191
5/4/22,256,3.153543307
5/5/22,298,3.050675676
5/6/22,267,3.25095057
5/7/22,236,3.214592275
5/8/22,212,3.109004739
5/9/22,282,3.137184116
5/10/22,289,3.184027778
5/11/22,251,3.2
5/12/22,301,3.16
5/13/22,256,3.17578125
5/14/22,272,3.132352941
5/15/22,225,3.135135135
5/16/22,317,3.284345048
5/17/22,263,3.198473282
5/18/22,305,3.046357616
5/19/22,244,3.229508197
5/20/22,249,3.153225806
5/21/22,221,3.110091743
5/22/22,264,3.098859316
5/23/22,322,3.096875
5/24/22,297,3.223728814
5/25/22,258,3.185770751
5/26/22,294,3.242320819
5/27/22,241,3.1625
5/28/22,215,3.090047393
5/29/22,231,3.135371179
5/30/22,257,3.250980392
5/31/22,304,3.235880399
6/1/22,280,3.105454545
6/2/22,253,3.179282869
6/3/22,275,3.145454545
6/4/22,222,3.172727273
