DATE,AWND,PRCP,TAVG,TMAX,TMIN
1/1/22,4.47,0,49,61,39
1/2/22,8.05,0,49,62,40
1/3/22,1.34,0,49,65,37
1/4/22,1.34,0,49,63,37
1/5/22,2.01,0,56,76,41
1/6/22,1.34,0,61,78,48
1/7/22,2.68,0,54,69,45
1/8/22,2.01,0,53,66,44
1/9/22,7.61,0,59,72,45
1/10/22,7.38,0,58,66,48
1/11/22,6.71,0,62,75,52
1/12/22,4.92,0,62,78,50
1/13/22,1.34,0,60,71,51
1/14/22,4.7,0,63,78,50
1/15/22,8.28,0,62,68,57
1/16/22,2.01,0,62,73,52
1/17/22,1.79,0.01,55,62,51
1/18/22,4.03,0,55,62,52
1/19/22,1.79,0,55,66,48
1/20/22,3.58,0,59,74,44
1/21/22,9.62,0,57,71,45
1/22/22,12.08,0,58,67,52
1/23/22,4.92,0,60,72,43
1/24/22,1.34,0,56,72,43
1/25/22,2.68,0,56,74,42
1/26/22,6.26,0,56,69,46
1/27/22,5.82,0,58,72,39
1/28/22,12.08,0,58,67,50
1/29/22,2.24,0,54,65,43
1/30/22,2.01,0,53,74,40
1/31/22,1.57,0,51,63,41
2/1/22,2.01,0,50,60,43
2/2/22,15.21,0,51,58,44
2/3/22,4.47,0,52,64,41
2/4/22,12.3,0,54,66,43
2/5/22,4.92,0,58,72,42
2/6/22,4.7,0,64,78,52
2/7/22,7.61,0,63,76,52
2/8/22,2.01,0,66,80,50
2/9/22,7.38,0,72,82,63
2/10/22,6.04,0,71,83,57
2/11/22,4.7,0,68,84,51
2/12/22,4.7,0,70,87,55
2/13/22,0.89,0,68,85,53
2/14/22,2.91,0,63,80,51
2/15/22,9.84,0.03,48,58,38
2/16/22,4.92,0,48,63,36
2/17/22,4.03,0,56,69,43
2/18/22,3.8,0,58,75,41
2/19/22,2.01,0,61,81,45
2/20/22,4.92,0,55,71,44
2/21/22,6.26,0,51,58,47
2/22/22,8.28,0.1,47,54,41
2/23/22,4.47,0.14,41,50,34
2/24/22,2.01,0,44,57,31
2/25/22,2.24,0,49,65,33
2/26/22,4.03,0,54,69,37
2/27/22,4.47,0,58,75,43
2/28/22,4.25,0,67,81,52
3/1/22,3.8,0,67,88,48
3/2/22,3.13,0,67,85,51
3/3/22,6.04,0,60,73,49
3/4/22,5.82,0,52,59,47
3/5/22,7.83,0,47,56,39
3/6/22,3.58,0,48,62,36
3/7/22,8.72,0,52,65,37
3/8/22,4.47,0,55,71,38
3/9/22,4.92,0,54,68,41
3/10/22,10.07,0,55,68,42
3/11/22,6.93,0,60,73,50
3/12/22,4.03,0,61,76,45
3/13/22,4.7,0,57,70,45
3/14/22,2.24,0,62,82,44
3/15/22,3.8,0,64,81,50
3/16/22,4.92,0,61,75,48
3/17/22,4.47,0,67,80,53
3/18/22,2.91,0,65,80,48
3/19/22,4.92,0.11,59,72,51
3/20/22,5.82,0.06,57,68,49
3/21/22,8.72,0,62,79,45
3/22/22,7.16,0,69,86,50
3/23/22,6.04,0,71,88,57
3/24/22,3.8,0,71,87,56
3/25/22,4.25,0,72,88,56
3/26/22,3.8,0,68,84,54
3/27/22,6.93,0,59,77,49
3/28/22,8.28,0.42,53,58,48
3/29/22,4.47,0.01,54,63,47
3/30/22,3.8,0,58,71,47
3/31/22,7.16,0,57,65,53
4/1/22,5.82,0,60,72,52
4/2/22,4.7,0,57,67,51
4/3/22,6.04,0,57,63,52
4/4/22,3.36,0,60,76,47
4/5/22,2.46,0,67,82,51
4/6/22,4.92,0,78,95,57
4/7/22,7.61,0,80,94,67
4/8/22,5.37,0,80,96,64
4/9/22,5.82,0,72,89,56
4/10/22,6.49,0,62,72,55
